case_id,activity,started_at,finished_at,objects,object_ids
case_1,(InitSteelCoil),2025-01-26 19:50:07,2025-01-26 20:20:07,P2;token_11;token_40;token_66;(InitSteelCoil),ID816;token_11;token_40;token_66;ID901
case_2,(InitSteelCoil),2025-01-26 19:50:07,2025-01-26 20:13:07,P3;token_31;token_49;(InitSteelCoil),ID861;token_31;token_49;ID901
case_3,(InitSteelPin),2025-01-26 19:50:07,2025-01-26 20:09:07,P4;token_4;token_14;token_1;(InitSteelPin),ID101;token_4;token_14;token_1;ID78
case_4,(InitSteelPin),2025-01-26 19:50:07,2025-01-26 20:17:07,P5;token_48;token_88;(InitSteelPin),ID910;token_48;token_88;ID78
case_5,(InitSteelPin),2025-01-26 19:50:07,2025-01-26 20:08:07,P8;token_23;token_100;token_40;(InitSteelPin),ID622;token_23;token_100;token_40;ID78
case_6,(InitSteelCoil),2025-01-26 19:50:07,2025-01-26 20:04:07,P1;token_66;token_25;token_59;(InitSteelCoil),ID150;token_66;token_25;token_59;ID901
case_7,(InitSteelPin),2025-01-26 19:50:07,2025-01-26 20:15:07,P4;token_74;(InitSteelPin),ID101;token_74;ID78
case_8,(InitSteelCoil),2025-01-26 19:50:07,2025-01-26 19:58:07,P2;token_37;token_9;(InitSteelCoil),ID816;token_37;token_9;ID901
case_9,"Log
Initialisation",2025-01-26 19:50:07,2025-01-26 20:04:07,"C1;token_94;token_37;Log
Initialisation",ID481;token_94;token_37;ID653
case_10,"API
Initialisation",2025-01-26 19:50:07,2025-01-26 19:55:07,"C3;token_22;token_94;token_20;API
Initialisation",ID562;token_22;token_94;token_20;ID730
case_11,"Manufactoring
Process",2025-01-26 19:50:07,2025-01-26 20:16:07,"P5;token_26;Manufactoring
Process",ID910;token_26;ID814
case_12,"Manufactoring
Process",2025-01-26 19:50:07,2025-01-26 20:04:07,"P3;token_2;Manufactoring
Process",ID861;token_2;ID814
case_13,"Manufactoring
Process",2025-01-26 19:50:07,2025-01-26 20:14:07,"P6;token_16;Manufactoring
Process",ID174;token_16;ID814
case_14,"API
Initialisation",2025-01-26 19:50:07,2025-01-26 20:05:07,"C2;token_98;token_77;token_21;API
Initialisation",ID512;token_98;token_77;token_21;ID730
case_15,"Log
Initialisation",2025-01-26 19:50:07,2025-01-26 20:18:07,"C2;token_11;token_36;token_84;Log
Initialisation",ID512;token_11;token_36;token_84;ID653
case_16,API Close,2025-01-26 19:50:07,2025-01-26 19:59:07,C4;token_73;token_39;token_12;API Close,ID609;token_73;token_39;token_12;ID796
case_17,SplitSheet,2025-01-26 19:50:07,2025-01-26 20:06:07,M1;token_11;SplitSheet,ID233;token_11;ID671
case_18,SplitSheet,2025-01-26 19:50:07,2025-01-26 20:02:07,M2;token_91;token_73;SplitSheet,ID594;token_91;token_73;ID671
case_19,HeatSheet,2025-01-26 19:50:07,2025-01-26 20:07:07,M3;token_9;HeatSheet,ID883;token_9;ID855
case_20,HeatSheet,2025-01-26 19:50:07,2025-01-26 20:16:07,M2;token_35;HeatSheet,ID594;token_35;ID855
