case_id,activity,started_at,finished_at,objects,object_ids
case_1,(InitSteelCoil),2025-01-26 20:00:41,2025-01-26 20:05:41,P2;token_49;(InitSteelCoil),ID816;token_49;ID901
case_2,(InitSteelCoil),2025-01-26 20:00:41,2025-01-26 20:05:41,P3;token_11;token_1;token_76;(InitSteelCoil),ID861;token_11;token_1;token_76;ID901
case_3,(InitSteelPin),2025-01-26 20:00:41,2025-01-26 20:11:41,P4;token_2;(InitSteelPin),ID101;token_2;ID78
case_4,(InitSteelPin),2025-01-26 20:00:41,2025-01-26 20:17:41,P5;token_64;(InitSteelPin),ID910;token_64;ID78
case_5,(InitSteelPin),2025-01-26 20:00:41,2025-01-26 20:07:41,P8;token_53;(InitSteelPin),ID622;token_53;ID78
case_6,(InitSteelCoil),2025-01-26 20:00:41,2025-01-26 20:23:41,P1;token_25;(InitSteelCoil),ID150;token_25;ID901
case_7,(InitSteelPin),2025-01-26 20:00:41,2025-01-26 20:17:41,P4;token_15;token_90;token_12;(InitSteelPin),ID101;token_15;token_90;token_12;ID78
case_8,(InitSteelCoil),2025-01-26 20:00:41,2025-01-26 20:13:41,P2;token_74;token_59;(InitSteelCoil),ID816;token_74;token_59;ID901
case_9,"Log
Initialisation",2025-01-26 20:00:41,2025-01-26 20:15:41,"C1;token_38;Log
Initialisation",ID481;token_38;ID653
case_10,"API
Initialisation",2025-01-26 20:00:41,2025-01-26 20:07:41,"C3;token_88;token_28;API
Initialisation",ID562;token_88;token_28;ID730
case_11,"Manufactoring
Process",2025-01-26 20:00:41,2025-01-26 20:15:41,"P5;token_81;token_47;token_77;Manufactoring
Process",ID910;token_81;token_47;token_77;ID814
case_12,"Manufactoring
Process",2025-01-26 20:00:41,2025-01-26 20:17:41,"P3;token_9;token_53;Manufactoring
Process",ID861;token_9;token_53;ID814
case_13,"Manufactoring
Process",2025-01-26 20:00:41,2025-01-26 20:16:41,"P6;token_2;Manufactoring
Process",ID174;token_2;ID814
case_14,"API
Initialisation",2025-01-26 20:00:41,2025-01-26 20:21:41,"C2;token_62;token_35;token_57;API
Initialisation",ID512;token_62;token_35;token_57;ID730
case_15,"Log
Initialisation",2025-01-26 20:00:41,2025-01-26 20:23:41,"C2;token_46;token_88;token_11;Log
Initialisation",ID512;token_46;token_88;token_11;ID653
case_16,API Close,2025-01-26 20:00:41,2025-01-26 20:06:41,C4;token_32;token_46;token_72;API Close,ID609;token_32;token_46;token_72;ID796
case_17,SplitSheet,2025-01-26 20:00:41,2025-01-26 20:17:41,M1;token_40;SplitSheet,ID233;token_40;ID671
case_18,SplitSheet,2025-01-26 20:00:41,2025-01-26 20:28:41,M2;token_60;token_41;token_100;SplitSheet,ID594;token_60;token_41;token_100;ID671
case_19,HeatSheet,2025-01-26 20:00:41,2025-01-26 20:26:41,M3;token_69;token_38;token_95;HeatSheet,ID883;token_69;token_38;token_95;ID855
case_20,HeatSheet,2025-01-26 20:00:41,2025-01-26 20:23:41,M2;token_67;token_10;token_33;HeatSheet,ID594;token_67;token_10;token_33;ID855
case_21,FormSheet,2025-01-26 20:00:41,2025-01-26 20:22:41,M4;token_3;token_42;token_98;FormSheet,ID733;token_3;token_42;token_98;ID24
case_22,FormSheet,2025-01-26 20:00:41,2025-01-26 20:28:41,M3;token_10;token_30;FormSheet,ID883;token_10;token_30;ID24
case_23,CoatPart,2025-01-26 20:00:41,2025-01-26 20:06:41,M5;token_57;token_9;token_27;CoatPart,ID908;token_57;token_9;token_27;ID804
case_24,CoatPart,2025-01-26 20:00:41,2025-01-26 20:18:41,M4;token_95;token_48;token_66;CoatPart,ID733;token_95;token_48;token_66;ID804
case_25,CutPart,2025-01-26 20:00:41,2025-01-26 20:11:41,M7;token_77;token_74;token_94;CutPart,ID95;token_77;token_74;token_94;ID110
case_26,CutPart,2025-01-26 20:00:41,2025-01-26 20:07:41,M6;token_94;token_75;CutPart,ID835;token_94;token_75;ID110
case_27,CheckParts,2025-01-26 20:00:41,2025-01-26 20:15:41,M9;token_46;token_94;token_8;CheckParts,ID215;token_46;token_94;token_8;ID7
case_28,CheckParts,2025-01-26 20:00:41,2025-01-26 20:30:41,M6;token_77;token_1;CheckParts,ID835;token_77;token_1;ID7
case_29,CheckParts,2025-01-26 20:00:41,2025-01-26 20:08:41,M7;token_37;token_26;CheckParts,ID95;token_37;token_26;ID7
case_30,CheckParts,2025-01-26 20:00:41,2025-01-26 20:24:41,M8;token_14;token_16;token_94;CheckParts,ID165;token_14;token_16;token_94;ID7
case_31,Assemble,2025-01-26 20:00:41,2025-01-26 20:25:41,M11;token_79;Assemble,ID265;token_79;ID122
case_32,Assemble,2025-01-26 20:00:41,2025-01-26 20:13:41,M9;token_28;token_39;Assemble,ID215;token_28;token_39;ID122
case_33,Assemble,2025-01-26 20:00:41,2025-01-26 20:24:41,M10;token_84;Assemble,ID830;token_84;ID122
case_34,Assemble,2025-01-26 20:00:41,2025-01-26 20:29:41,M8;token_91;token_97;Assemble,ID165;token_91;token_97;ID122
case_35,Pack,2025-01-26 20:00:41,2025-01-26 20:09:41,M11;token_60;token_11;token_46;Pack,ID265;token_60;token_11;token_46;ID192
case_36,Pack,2025-01-26 20:00:41,2025-01-26 20:24:41,M12;token_40;token_51;token_8;Pack,ID561;token_40;token_51;token_8;ID192
case_37,SwitchPosition,2025-01-26 20:00:41,2025-01-26 20:30:41,MA1;token_86;SwitchPosition,ID685;token_86;ID689
case_38,CheckParts,2025-01-26 20:00:41,2025-01-26 20:24:41,MA3;token_46;token_69;CheckParts,ID673;token_46;token_69;ID7
case_39,SwitchPosition,2025-01-26 20:00:41,2025-01-26 20:17:41,MA3;token_69;token_91;token_77;SwitchPosition,ID673;token_69;token_91;token_77;ID689
